vehicle_edge,vehicle_longitude,vehicle_latitude,count
37928264#2,7.568285,44.995685,414
28281075,7.59999,45.104555,414
28281075,7.597805,45.10395,414
28281075,7.598896,45.104256,414
37928264#2,7.571953,44.996371,414
37928264#2,7.569509,44.995911,414
28281075,7.596706,45.103663,414
37928264#2,7.57318,44.996589,414
37928264#2,7.57073,44.996144,414
-51444388,7.640569,45.148851,412
-51444388,7.643145,45.148463,412
-51444388,7.6367,45.149414,412
-51444388,7.63928,45.149039,412
-51444388,7.641859,45.148663,412
-51444388,7.63799,45.149227,412
38318591#1,7.747704,45.150822,409
38318591#1,7.747148,45.149998,409
38318591#1,7.74543,45.147542,409
38318591#1,7.746581,45.149177,409
38318591#1,7.746005,45.14836,409
23154530,7.704851,44.969712,408
23154530,7.703574,44.968523,408
23154530,7.703715,44.967023,408
23154530,7.704112,44.969164,408
23154530,7.706695,44.970322,408
23154530,7.703562,44.967773,408
23154530,7.705659,44.970199,408
15215737#1,7.694508,44.989355,397
15215737#1,7.692491,44.990242,397
15215737#1,7.698787,44.984462,397
15215737#1,7.696977,44.987553,397
15215737#1,7.69759,44.986832,397
15215737#1,7.699005,44.983634,397
15215737#1,7.698502,44.985279,397
15215737#1,7.696241,44.988212,397
79941734#2,7.568416,45.072472,397
15215737#1,7.69809,44.986068,397
15215737#1,7.693527,44.98983,397
15215737#1,7.695419,44.988818,397
30251045,7.674308,44.991918,395
30251045,7.673337,44.992333,395
30251045,7.67526,44.991479,395
30251045,7.679222,44.989912,395
30251045,7.677174,44.990611,395
133627094#0,7.761445,45.139729,395
37928262,7.554403,44.983976,395
30251045,7.678197,44.990261,395
37928262,7.555015,44.984729,395
